Species,UCP_ID,Prep_Number,Date_of_death,Intake_date,Necropsy_date,Manner_of_death,County_approximate _ocation,City_approximate_location,Neighborhood,Latitude,Longitude,LatLong_Remark,Dissected_by,Collection_notes_condition,PAWS_Case_Number,Sex,Age,Reproductive status,Suspected_Young_of_Year,Total_length_(mm),Tail_(mm),Right_hind_foot_(mm),Right_ear_(mm),Testes_(mm),Weight_(g),Body_condition_(1-5),Skin_lesions,Ringworm,Ectoparasites,Coloration_claws,Notes_external,Tooth_wear,Bone_marrow_color,Bone_marrow_consistency,Heart,Lungs,Lymph_nodes,Notes_thoracic,Spleen_mass,Liver_mass,Liver_condition_path,Notes_liver_bile ducts_lymphatic,Kidney_pathology_condition,kidney_w_fat_g,kidney_wo_fat_g,Kidney_fat_weight_g,Kidney_fat_index_percentage,Uterine_scars_(L+R),Current_pregnancy_(Embryos_L+R),Notes_reproductive_urinary,Additional_notes_and_observations,UPDATE_SAMPLE_SHEET
Coyote,COY142,YH248,6/27/24,8/16/24,10/3/24,USDA Wildlife Services,Island,Whidbey,OLF coupeville,48.18333,-122.63333,approx,"SK, BS",NA,NA,Female,Pup,Nonparous,NA,882,252,150,98,NA,4100,2,NA,NA,NA,"white tail tip, normal claw",NA,"puppy teeth, not all teeth erupted in back, mittens",NA,NA,shot in half,"L lung a little splotchy but smooth texture, R lung shot",normal,NA,6.7,145.2 w/gb,little decomp on edge of lobes,NA,"a little pale, not a lot of definition",19.6,17.3,2.3,13.29479769,very large ovaries for age ,NA,NA,"clouded eyes from lack of quick refridgeration - stinky abdomen, good amount of mesentary fat, large but pink + healthy lymph node in lower intestines, gall bladder extra nestled w/in lobe ",TRUE
Coyote,COY098,YH127,8/25/23,9/7/23,10/5/23,USDA Wildlife Services,Island,Whidbey,Coupeville,49.195679,-122.628796,Approx,SK,NA,,Male,Adult,Testes present,no,1232,341,180,100,20x15,13190,2,NA,NA,NA,Very black tail tip,NA,Worn mittens,dark red,firm jelly,normal,normal,NA,NA,NA,"Liver partially hit by bullet, no mass",Strawberry seed dotting and degraded considerably,"Spleen hit by bullet, no mass","mostly obliterated, only small portion of L kidney there",NA,NA,#VALUE!,#VALUE!,NA,NA,NA,"only partial organs for kidney and spleen, thoracic cavity liver and some intestines in it, gun shot through left side into abdomen and cut diaphragm, intestines seem mostly intact, very full stomach, extremely bloody, almost no sub Q fat.",TRUE
Coyote,COY101,YH136,7/27/23,9/7/23,11/30/23,USDA Wildlife Services,Island,Whidbey,Coupeville,49.195679,-122.628796,Approx,JC,NA,,Male,Adult,Testes present,NA,1258,311,184,113,L 15x19,11060,3,Bullet hole right shoulder,NA,NA,Claws are long and sharp,NA,Somewhat worn mittens,NA,NA,Normal,Normal,NA,NA,20.3,217.4 w/ gb,"Somewhat pale, bumpy white spots",NA,"Thickened medulla, not sharp distinction",44.2,42.9,1.3,3.03030303,NA,NA,NA,,TRUE
Coyote,COY107A,YH138,7/6/23,9/7/23,12/7/23,USDA Wildlife Services,Island,Whidbey,Coupeville,49.195679,-122.628796,Approx,YH,NA,,Male,Adult,Testes present,NA,1141,323,195,112,R 11x20,11800,2,"Tail mangy, 10%",NA,NA,"Claws long, color normal","Beginning stages of mange, mostly on tail, hard to find lesions due to blood","Worn mittens, great teeth",NA,NA,"Normal, fatty pericardium","R lung pale, L lung saturated w/ blood",See notes,"Shot in chest L lung, trachea",23.7,248.2 w/ gb (leaking),"Moderate decomp, weird calcified blob (took photo)",NA,NA,34.8,30.2,4.6,15.23178808,NA,NA,NA,"Chest eviscerated, R shoulder compound fracture. Diaphragm ruptured, stomach in thoracic cavity. Enlarged lymph nodes around pancreas (collected)",TRUE
Coyote,COY012,YH051,9/14/22,NA,3/23/23,USDA Wildlife Services,Skagit,Anacortes,NA,48.50047,-122.6235,Specific,"ER, EL",NA,,Male,Adult,Testes present,NA,1145,315,180,95,15,10585,3,0%,NA,NA,NA,"hole lesion in back right side of neck, possible bullet wound lesion on back 1 left left hole","some wear, mosty white",dark pink,jelly,lots of fat around heartotherwise normal,"inhaled blood, otherwise normal",NA,NA,17.3,357.3,normal,NA,normal,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,TRUE
River otter,OTT019,YH261,4/7/24,4/7/24,12/5/24,Roadkill,Okanogan,Okanogan,SR-97A MP 211 (Okanogan),48.36472,-122.58125,approx,"CC, VB",for wildlife program U.wash / museum etc. W84,NA,Female,Adult,Embryos Present,yes,1155,406,128,22,NA,8647,4,NA,NA,NA,"dark brown on back, very light/ blonde underbelly",NA,minimal bottom and top canines worn,NA,NA,normal,normal,NA,right side of ribs broken and lots of internal bleeding,33.9,202.2 w/o gb,very mushed up,NA,normal,106.8,99.8,7,7.014028056,NA,yes,pregnant w/ 3 very devopled pups,"pups in freezer: YH261A muscle, YH261B muscle skin, YH261C kidney spleen. each pup has muscle tissue saved in vial, rest of body being fixed in formaldehyde --> EEOH. all three CR length = 115 mm",TRUE
Raccoon,RAC070,YH164,12/2/23,12/4/23,2/15/24,PAWS,Pierce ,Lakewood,"8118 Leshi Rd, Lakewood WA 98498",47.17824,-122.546297,Specific,"NC, AB",,23-4327,Male,Adult,Testes present,NA,790,no tail,130,50,25Lx20W,6100,2,lesions on feet,NA,fleas present ,"long claws, light fur","no tail, patch of skin missing on right foot, wound on back","missing one top caine, other top canine nub, missing other teeth",NA,NA,"pericardium is white, outside slightly pale, inside normal ","very pale, discoloration, white patches, white veining",normal,NA,53.4g,w/ gb 344.6g ,"pale, yellow discoloration",spleen dark discoloration at edges + very large,NA,30.6,27,3.6,13.33333333,NA,NA,adrenal gland very large ,,TRUE
Coyote,COY143,YH247,8/15/24,8/16/24,10/3/24,USDA Wildlife Services,Whatcom,Bellingham ,NA ,48.796556,-122.540222,approx,"CC, EB","skull pretty shattered, left side of jaw detatched ",NA,Male,Pup,N/A,NA,960,295,168,106,25,4860,1,"left side of face bloody, shot ",NA,NA,"orange on legs, white/brown fur, black tail tip ","very skinny, can feel hip bones and ribs ","minimal mittens visible, top and bottom right canine teeth missing ",NA ,NA,good amount of fat covering ,"super puffy, red splotches that feel grainy , maybe lesions, ",NA ,"pale, possibly due to head wound ",6.3,177.5 w/gb,slight/dark discoloration,spleen has some discoloration ,"normal, healthy ",45.6,38.9,6.7,17.22365039,NA ,NA,NA,NA,TRUE
Raccoon,RAC042,YH161,6/19/23,6/28/23,2/8/24,PAWS,Pierce,Lakewood,"John Dower Rd SW & Patton Ave SW Lakewood, WA 98498",47.17954,-122.52376,Specific,JC,NA,23-2032,Male,Adult,Testes present,NA,852,242,128,45,30x22,13950,5,NA,NA,NA,"normal coloration - little whiteish in color, little wear on claws",NA,"2 top canines broken, otherwise good teeth",NA,NA,not collected,"very bad condition, brown w/dark color, some spots, spongy",NA,NA,31.7,229.1 w/gb,healthy,NA,lots of fat!!,48.2,21.4,26.8,125.2336449,NA,NA,NA,Jeff wanted the skeleton so baculum and skull not collected. couldn't break bones so heart was too hard to reach and too frozen. SO FATTY!!,TRUE
Raccoon,RAC086,YH186,2/13/22,NA,4/4/24,Roadkill,Pierce,Tacoma,Point Defiance Ferry Terminal,47.303515,-122.514918,Specific,"ID, SB, JC","Dead in exit lane, skull crushed",NA,Male,Juvenile,Baculum present,NA,955,275,136,57,NA,4920,3,small lesions on neck,NA,NA,normal,Lesions from roadkill,mittens present,NA,NA,normal,"very patchy & spotty in color, some dark spots",NA,NA,30,204.8 w/ gb,normal,spleen was spotty & speckled,large distinction between medulla & cortex,26.4,17.7,8.7,49.15254237,NA,NA,NA,"Likely run over, head/skull crushed, lots of dried blood on hair",TRUE
Coyote,COY166,YH272,NA,1/14/25,4/3/25,USDA Wildlife Services,Pierce,Spanaway,Joint Base Lewis-McChord,47.1332,-122.494,approx,"SK, JD, EB",NA,NA,Female,Juvenile,No scars observed,NA,963,285,162,108,NA,7680,NA,"missing fur on legs in very small spot, missing mid tail hair, matter fur, naked L elbow",NA,NA,"extra long claws, normal color",NA,mittens,NA,NA,small-average for size & age,slight decomposition,NA,NA,43.4,287.6 w/o gb,"slight decomposition, smooth lesions on liver",NA,normal,25.4,20.7,4.7,22.70531401,NA,NA,NA,"smells like cow maneur, entry wound L thoracic cavity - full of blood",TRUE
Coyote,COY051,YH046,1/27/23,2/17/23,3/9/23,USDA Wildlife Services,Pierce,JBLM,NA,47.135727,-122.477627,Specific,"OC, NB",NA,,Male,Adult,Testes present,NA,1290,370,200,140,30X30,12850,3,NA,NA,NA,NA,NA,"no mittens, missing a lot of teeth on upper jaw, lots of wear, discoloration",Normal,Normal,walls a little thick but not concerning,normal-> likely inhaled blood while dying,Big lymph nodes,NA,20.3,238.8,"Normal, uniform",NA,"lots of fat surrounding intestines and kidneys, interesting radial marks on kidney",NA,NA,#VALUE!,#VALUE!,NA,NA,NA,"JBLM 1/27/23 at 7:08am adult male, left side brain case very broken, likely shot there",TRUE
Raccoon,RAC082,YH179B,2/19/22,2/19/22,3/28/24,Other,King,Vashon Island ,Vashon Island outer quater master drive - vashon Hwy,47.386,-122.477,Approx,"JC,SB",NA,NA,Female,Adult,No scars observed,NA,915,254,150,50,NA,50,3,NA,NA,NA,"coloring normal, claws a little worn, long, missing claw on left hind leg ",NA,"good, worn mittens",NA,NA,normal,discoloration and spotting ,N/A,NA,27.1,196.6 g w/gb,"a few light spots, mostly normal",spleen normal,NA,28,21.3,6.7,31.45539906,NA,NA,,,TRUE
Coyote,COY164,YH270,10/18/24,NA,4/3/25,,Pierce,Spanaway,Joint Base Lewis-McChord,47.14065,-122.47594,approx,"LG, MC",NA,NA,Female,Juvenile,Uterine scars,NA,1112,340,191,103,NA,8300,3,"sore on left hind leg, mange all over",NA,NA,"hair on legs and tail is reddish, claws are worn down","hair on right hind side filled with white spots/white substance, skin decaying, covered in blood, patchy hair on lower leg, mangled hair on left chest side, patchy hair on face, broken neck (?)","very white, canines slightly worn, missing LR canine",NA,NA,"normal, dark red, small fist size","pale beige, still spongy, more red near bottom (blood flow/pooling) and brown",NA,NA,21.1,348.4 w/gb,"dark reddish brown, pale spotting in areas, rough","texture in areas (liver), calcification on liver","normal, dark red, some white spotting, clear distinction between medula and cortex, medula is pale",35.5,33,2.5,7.575757576,"3 dark spots, signs of scarring","2 solid dark spots, 1 more dark spot on right uterine horn",NA,from external notes: tail hair super sparse; neck seemed broken,TRUE
Raccoon,RAC003,YH023,2019,2019,11/3/22,Roadkill,Pierce,Tacoma,NA,47.258728,-122.465973,Approx,ER/RM,NA,,Female,Adult,Nipples Enlarged,NA,NA,270,120,55,NA,4620,3.5,Healthy skin,NA,NA,NA,"Skin torn, has had kits","Wear on lower left canine, teeth somewhat yellow and worn","Dark brown, possible freezer burn",Normal,NA,NA,Normal,NA,38,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,No scars observed,None,NA,"Iterstitial nephritis: NA, Renomegaly: N/A, Kidney amyloidoisis: NA, Urinary bladder wall: normal, Renal aplasia/hyperplasia/dysplasia: NA, chronic hypercongestion: NA, miliary hepatic necrosis: N/A, already extracted DNA from earclip",TRUE
Raccoon,RAC083,YH183,6/27/23,4/4/24,4/4/24,PAWS,Pierce,Tacoma,NA,47.258728,-122.465973,Specific,AB,Puget Sound Wildcare,23-333,Female,Adult,Uterine scars,NA,930,230,120,50,NA,5050,3,NA,NA,NA,slight yellowing on all paws from wear,NA,"wear on all teeth, little mittens",NA,NA,"discoloration from decay, otherwise healthy","splotchy discoloration, light patches",NA,NA,20,332.1 w/gb,dark spots,NA,"clear distinction darker medula, normal",83.7,79.2,4.5,5.681818182,scaring present,NA,NA,NA,TRUE
Coyote,COY078A,YH069,4/14/23,4/21/23,4/27/23,USDA Wildlife Services,Skagit,Burlington,Skagit Airport,48.45734,-122.4449,Approx,"SK, YH",USDA tag said M but actually F,,Female,Adult,Embryos Present,N,1140,312,175,130,NA,11430,3,5%,NA,many ticks around ears,"normal, long claws",wounds on neck (bites?),"no mittens, bottom medium wear, broken LB canine",light pink,firm jelly,normal,"pale, small",normal,"lots of blood, lots of connective tissue, excess fat aroun heart",15,240.4,"yellowish-brown, degraded, weird sac of pink liquid",NA,"grey discoloration, fat nodule on L kidney, R kidney pale, fat nodules",NA,NA,#VALUE!,#VALUE!,NA,"yes, 3L 5R",NA,"took muscle sample for tissue, liver was gross",TRUE
Coyote,COY073,YH071,4/11/23,4/21/23,5/4/23,USDA Wildlife Services,Skagit,NA,Skagit Airport,48.4576,-122.4449,Approx,"SK, AW",NA,,Female,Juvenile,Nonparous,Y,1160,342,193,110,NA,10460,1,0%,NA,NA,normal,NA,"worn mittens, TL canine nearly gone/broken",medium pink,jelly/firm,normal,normal,normal,"hemorrhaging in chest, exit wound in neck",19.6,190.7 with GB,brown/yellow coloration,dark coloration on spleen,normal,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,small abrasion on left back leg,TRUE
Coyote,COY080A,YH072,4/15/23,4/21/23,5/4/23,USDA Wildlife Services,Skagit,Burlington,Skagit Airport,48.4576,-122.4449,Approx,"OC, NB",NA,,Male,Adult,Testes present,NA,1190,360,170,130,35x30,11345,3,0%,NA,NA,"normal, black tip of tail",NA,"mittens present, slightly worn down",dark red,jelly,normal,pale,NA,NA,32,265.5 with burst GB,little bit of strawberry spots,NA,shockingly normal,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,world's biggest blood clot by gunshot wound in middle back above stomach and intestines,TRUE
Coyote,COY076,YH078,4/17/23,4/21/23,5/18/23,USDA Wildlife Services,Skagit,Burlington,Skagit Airport,48.4576,-122.4449,Approx,RM,NA,,Female,Adult,Uterous not observed: nipples present,No,1096,400,195,129,NA,12265,3,0%,NA,NA,normal,NA,"mittens present, top teeth chipped",pale pink,jelly,lot of fat,normal,normal,hole in ribcage,12,316.4 with GB,strawberry spots,NA,pale inside,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,TRUE
Raccoon,RAC058,YH159,8/13/23,10/3/23,2/8/24,PAWS,Pierce,Tacoma,"421 S. 30th St Tacoma, WA 98402",47.23398,-122.43864,Specific,"NC, ID",NA,2023-3242,Female,Pup,N/A,NA,650,225,95,45,NA,1690,2,NA,NA,NA,normal wear,"right arm has severe road rash, most likely road kill","missing front tooth/ has baby teeth, missing canines",NA,NA,normal,"very pale, lesions present",NA,NA,2.6,41.6 w/ gb,normal ?,NA,very little fat,5.9,5.5,0.4,7.272727273,NA,NA,NA,"yellow on intestines(GI & colon), road rash? on FR paw, skin rubbed off & dislocated, assumed roadkill?? no other signs of trauma",TRUE
Coyote,COY156,YH262,10/29/24,10/29/24,1/2/25,,Skagit ,Burlington,Skagit Airport,48.46759,-122.41878,approx,CC,NA,NA,Female,Juvenile,N/A,NA,1235,315,172,116,NA,12585,3,normal ,normal ,normal ,dark claws,NA,minmal wear mittens present back molars newly grown in,NA,NA,normal,normal,normal,very pale.. blood loss or anemia ,19.1,491.8 w/gb,normal but pale,NA,NA,45.3,42.1,3.2,7.600950119,NA,NA,NA,NA,TRUE
Coyote,COY070,YH060,4/2/23,4/4/23,4/13/23,USDA Wildlife Services,Skagit,NA,Skagit Airport,48.4607709,-122.4141587,Approx,"OC, NB",NA,,Male,Adult,Testes present,NA,1310,380,200,130,20,12365,3,NA,NA,NA,"Black back, terra cotta flanks, pale beige underside, small white tail tip",Very dirty,"very worn, mittnes",pink,jelly like,lot of fat where the valves connect,"look muscely; very dense. Shriveled, black spots in cross section, grayish tissue as well",NA,NA,194,221.7 with gall bladder,"Strawberry spots, grainy texture",NA,"pale, very",NA,NA,#VALUE!,#VALUE!,NA,NA,NA,"Spleen pale with dark tip -> decomposition, stomach cut before tied off",TRUE
Coyote,COY069,YH062,4/2/23,4/4/23,4/15/23,USDA Wildlife Services,Skagit,NA,NA,48.4607709,-122.4141587,Approx,"SK, YH",NA,,Male,Adult,Testes present,NA,1385,380,206,119,23,15085,4,"<1%, some legion on ear",NA,"Many ticks, potentially mites?",NA,NA,"fairly worn, missing FB tooth, many broken molars",med pink,firm  ,covered in excess amount of fat,"very pale, extra textured, brown coloration, bullet hole",NA,NA,23.7,238.6,"extremely pale, browning",NA,fat nodules on both otherwise normal,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,TRUE
River otter,OTT009,YH238,2/3/23,4/18/23,8/29/23,PAWS,King,Seattle,Sunset Hill,47.6806,-122.40484,Specific,"CC,YH",NA,2023-0154,Female,,Uterine scars,NA,1330,505,125,153,NA,4150,2,NA,NA,NA,"claws very worn, some broken ",NA,"extermely worn, many broken, some worn to gum",NA,NA,"full of blood, clotted",Dark (saturated with blood),normal,NA,17.3,NA,"normal, mild decomp",NA,"bubble like on L kidney, pics taken by YH",37.2,34,3.2,9.411764706,has reproductive sacrs 4L+4R,NA,NA,skeleton saved for museum,TRUE
Raccoon,RAC001,YH002,8/21/21,8/21/21,,Roadkill,King,Seattle,Ballard,47.66812,-122.40197,Specific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Raccoon,RAC025,YH188,3/22/23,3/22/23,4/20/24,Roadkill,King,Seattle,Golden Gardens Seattle,47.69021,-122.39784,Specific,"EM, AZ",SK collected ,NA,Male,,Testes present,no ,1020,295,110,40,45x20,770,3,NA,NA,NA,"normal wear, long claws, front R middle toe missing nail ","skull crushed, body flattened (roadkill), both back feet have cuts, back L foot broken","face crushed but all teeth appear present, slight chips on all canines  ",NA,NA,normal appearence ,"decomp, squishy texture ",NA,"hemorraging on shouldars/throat, cavity obliterated ",32.2,214.5 w/gb,misshapen lobe (from freezing),NA,"decomp on 1 kidney, slight distinction between medula and cortex",29.9,25.3,4.6,18.18181818,NA,NA,adrenals attached to eachother ,,TRUE
Raccoon,RAC054,YH155,9/13/23,9/13/23,2/1/24,Roadkill,King,Seattle,"3107 NW 75th St, Seattle, WA 98117",47.682928,-122.39761,Specific,"NC, EM",NA,,Male,Adult,Baculum present,NA,882,264,120,45,NA,4010,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spotting, heavy decomp, very squishy",NA,NA,9g ,95g w/ gb,very pale and discolored,spleen very discolored,NA,15,12,3,25,NA,NA,NA,intestines were stuck under broken leg bone,TRUE
Coyote,COY105,YH132,9/24/23,9/27/23,11/9/23,Other,King,Seattle,Magnolia,47.658,-122.394,Approx,"KH, YH, SK, CA",NA,,Female,Juvenile,,NA,1220,332,184,121,,"10,450",2,NA,NA,NA,normal,NA,slightly worn mittens,NA,NA,"lesions on valves & heart wall, gritty texture in valvle",right lung pale & grayish,,,30.4,NA,normal,NA,slightly pale,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,plum pits & grass in stomach,FALSE
Raccoon,RAC036,YH129,4/20/23,5/18/23,11/2/23,PAWS,King,Seattle,Ballard,47.67394,-122.39302,Specific,"SK,LB",NA,2023-0600,Male,Adult,Testes present,no,1011,284,124,51,21x19,346,3,NA,NA,NA,"normal, but very pretty :)",NA,"lots of tartar on back teeth, lightly worn front teeth, incisors intact, grey spots on gums",NA,NA,white striations along bottom,lots of mottling w/ dark and grey areas,NA,NA,33.5,245.2 w/gb,"some white spotting on some lobes, gritty texture ",NA,NA,28,26,2,7.692307692,NA,NA,very little differentiation between cortex and medulla (kidney),"white paint on all toes, trauma on tail; scrapes and bruising, blood on left side of head, some scabs on back, end of intestines very green, spleen is segmented on back left side; lighter lesions to left of seperation   ",TRUE
Coyote,COY106B,YH141,8/17/23,9/7/23,1/4/24,Other,Island,Whidbey,Ault Field,47.67394,-122.39302,Approx,"MP, EC",NA,,Male,Unknown,Testes present,NA,1270,350,190,110,20x15,12900,2,Thin fur on tail,NA,NA,Normal,NA,Worn,NA,NA,"Healthy, no excess fat",Pale,Enlarged lymph nodes near large intestine/pancrease,Right lung destroyed,18.4,319.5 w/ gb,Normal,NA,"Normal, pale-prominent medulla",28.3,24.9,3.4,13.65461847,NA,NA,NA,"Bullet through right shoulder, internal bleeding, bullet fragment in lung (left)",TRUE
Coyote,COY104,YH143,8/18/23,9/7/23,1/4/24,,Island ,Whidbey, Ault field,47.67394,-122.39302,Approx,EC,NA,,Male,Juvenile,Testes present,NA,995,300,155,150,5x5,6800,NA,NA,NA,NA,normal ,NA,"clear mittens, lower left canine broken ",NA,NA,normal ,too much decom to collect ,NA,lots of decomp ,NA,NA,heavy decomp ,NA,normal ,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,"significant decomp, diaphragm punctured, stomach split ",TRUE
Raccoon,RAC093,YH197,3/13/24,3/13/24,5/2/24,PAWS,King,Seattle ,"30th NW & Both St, Seattle, WA 98107",47.66792,-122.39286,Specific,"ID,MT,NC",NA,24-0368,Female,Adult,Uterine scars,,890,370,120,60,NA,4620,3,100% scabbing over body ,NA ,NA ,normal ,maggots present near vaginal opening/in butt ,"normal, no missing teeth ",NA,NA,"somewhat deflated, lots of blood inside ",pink but spongy texture ,NA ,NA ,13.3,168.5 w/gb,some dark spotting/strips ,NA,normal ,21.3,15.7,5.6,35.66878981,"very thick and curly horns, scars present, but hard to tell because of curls ",NA,NA,NA ,TRUE
Raccoon,RAC079,YH179A,2/14/24,2/27/24,3/7/24,PAWS,Snohomish,Edmonds,"180 2nd AVE S Edmonds, 98202","47.81031507839212,",-122.3824286,Specific,"JC, KH",NA,2024-0245,Male,Adult,Testes present,no,1600,330,120,55,38x26,6850,3,short hair on L front leg,NA,NA,"normal, hind claws extremely worn",matted by left hind paws,"good, L lower broken front tooth",NA,NA,upper node dark; a little small,1/2 discolored and patchy likley decomp; other 1/2 saturated in blood ,NA,NA,66.7,267.0 w/gb,normal w/ some decomp,live = HUGE,good distinction between medulla and cortex,29,26,3,11.53846154,NA,NA,NA,GI tract very far up body by heart,TRUE
Coyote,COY005,YH010,NA,2/15/2022,7/7/2022,Wildlife Control Operator,Pierce,Spanaway,NA,47.127135,-122.3800749,Approx,"SK, SR",NA,,Male,Adult,Testes present,NA,1300,394,182,126,36,11460,4,mangy,NA,NA,NA,NA,NA,NA,NA,NA,"dark, full of blood",enlarged,full of blood,NA,NA,NA,spleen decayed,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,"testes descended, bare","potential worm in intestine, spotted caecum",TRUE
Coyote,COY006,YH011,12/12/21,2/15/22,7/7/22,Wildlife Control Operator,Pierce,Spanaway,NA,47.127135,-122.3800749,Approx,"EL, YH",FR food caught in foothold,,Female,Unknown,Uterine scars,N,1107,320,175,108,NA,1050,3,mange,NA,NA,NA,NA,NA,NA,NA,NA,Lungs foamy- breathed in blood- weirdly pale and brown,NA,full of blood,NA,NA,looks healthy bit decomposed a bit,,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,"Endoparasites- tape worm,4 vials worms, skin scrape in ethanol, stomach is filled with only rope, tapeworm found of midsection of small intestine, colon is also backed up with string and worms, lots of tapeworm, some disintegrated, suspected gravid tapeworms",TRUE
River otter,OTT003,YH013,4/16/22,4/17/22,8/4/22,Wildlife Control Operator,King,Seattle,Portage Bay,47.6472698,-122.3800749,Approx,"PD,YH",NA,,Male,Adult,N/A,NA,977 without head,460,112,NA (no head),NA,9000,3,NA-skinned,NA,NA-skinned,NA,Was skinned and head removed prior to collection,NA,NA,BA,Heart full of clots,inhaled blood,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,"Body cavities full of blood, some clots/congealed, feet and head were removed, thyroid not found, stomach and duodenum full of yellow bile, no baculum, only penis tissue, in good health, COD unsure, no bullets on body, no worms found, fecal clean",TRUE
River otter,OTT001B,YH015,NA,NA,9/1/22,Wildlife Control Operator,King,Seattle,Portage Bay,47.647298,-122.3800749,Approx,"Sk,MP,Annika",NA,,Female,Adult,No scars observed,No,NA,900,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,red-dark,jelly,white dots on heart may have thickening in wall of heart on one side,"white foamy lung tissue, L side 2 lobe R side 4 lobe, browing lung tissue",NA,NA,36,NA,7 liver lobes,NA,kind of small kidneys,NA,NA,#VALUE!,#VALUE!,no scaring apparent,NA,ovaries attached to a lot of fat,"Large airy green gallbaldder with dark spots, thymus (word that looks like ""secm"") larger/more apparent, interestitial nephritis;no, renomegaly:no, kidney amyloidosis:no, urinary bladder wall:normal, renal aplasia/hyperplasia/dysplasia:no, chronic hypercongestion:no, miliary hepatic necrosis:no, small amount of tube, 2 tubes of blood",TRUE
Coyote,COY007,YH016,NA,2/15/22,9/1/22,USDA Wildlife Services,Pierce,Spanaway,NA,47.127135,-122.3800749,Approx,"SK, MD, AQ",NA,,Male,Adult,Testes present,NA,987,353,203,121,30,12400,3,70%,no,No,NA,NA,Some wear,light pink,gelatinous/not liquidy,"pale grey, lots of fat, very clear vasculature apparent on outside of heart, thick heart chamber","Extremely white lumpy lungs, brown lung, 3 lobe L lung, 4 lobe R lung","black/large, upper left armpit lymph node large and black (collected)",Exteremly unhealthy theracic cavity,11.4,NA,"extremely pale, 7 lobe liver",NA,"white packs on kidney, very pale, less distinction between cortex and medula than normal byt very pale kidney.",NA,NA,#VALUE!,#VALUE!,NA,NA,NA,"red and healthy tissue for (word that looks like ""gurkis"") and tongue (little decomposition), extremely fatty abdominal cavity, lots of fat in thoracic cavity, some muscle decomp around ribs above lungs but all other muscle tissue normal coloration, Interstitial nephritis:maybe, Renomegaly:no, Kidney amyloidosis:no, Urinary bladder wall:no, renal aplasia/hyperplasia/dysplasia:no, gall bladder leak",TRUE
River otter,OTT004,YH017,NA,NA,9/1/22,Wildlife Control Operator,King,Seattle,Portage Bay,47.6472698,-122.3800749,Approx,"YH,OC,ER",Euthanized,,Female,Adult,No scars observed,No,1220,420,120,20,NA,8700,4,NA,NA,NA,NA,NA,"UL,LL,UR canines broken",NA,NA,NA,NA,NA,Full of blood,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,everything looks normal,"strange (word that looks like ""hora"") organ blw liver and gall bladder",TRUE
Raccoon,RAC077,YH177,2/16/24,2/26/24,3/7/24,PAWS,King,Seattle ,4401 11th ave NW seattle WA 98107 ,47.6614,-122.37091,Specific,NW,NA,2024-0255,Male,Juvenile,Baculum present,NA,89,24,9,4,NA,5700-tray,2,strange lymphnodes/bumps near abdomon,NA,NA,slightly worn claws,abdominal cut w/ organs coming out ,mild wear,NA,NA,good condition ,slight sponge- like texture a bit doscolored ,few 1-2 found,lots of interal bleeding,23.9,195.g w/gb,normal,NA,normal,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,couldn't find?,TRUE
Raccoon,RAC055,YH173,9/16/23,9/17/23,3/7/24,Roadkill,King,Seattle ,Ballard ,47.68450673,-122.3661254,Specific,MC,NA,NA,Male,Adult,Testes present,,830,75,115,30,30x45,7600,3,NA,NA,NA,normal ,NA,"jaw split in half, skill shatered ",NA,NA,N/A (discoloered from blood pooling),"pale and spongy, discoloation decomp?",NA,bubbles visible on lungs ,42.7 g ,233.4 g w/gb,"normal, come discoloration on one side ",spleen (got cut) more texted then normal appears spotted ,NA,25.9,21.6,4.3,19.90740741,NA,NA,NA,"missing end of tail, skull shattered",TRUE
Raccoon,RAC062,YH191,10/30/23,10/30/23,4/20/24,Roadkill,King ,Seattle ,Ballard ,47.677451,-122.366092,Specific,"MT, ID ","diaphram broken, internal bleeding, organs displaced from internal trauma ",,Female,Adult,Uterine scars,NA ,810,260,113,50,NA,5620,3,NA (other than crushed skull),NA,NA,normal ,"head crushed, broken back left leg, broken neck, broken ribs","no mittens present, missing a few bottom teeth from head injury ",,NA ,small but healthy ,"signs of decomp, black/dark discoloration, spongy airy ",NA,NA ,11.8,160.3 w/gb ,discoloration an white spotting with texture ,adrenal gland cut when extracted ,"yellowish medula, good contrast between cortex and medula ",16,14.2,1.8,12.67605634,scaring present ,has reproduced ,NA,"diaphram broken, internal bleeding, organs displaced from internal trauma ",TRUE
